task,language,origin_query,category_path,label
QC,es,hanma yujiro,"phones & telecommunications accessories,mobile phone accessories,mobile phone cases & covers",1
QC,fr,bracelet magnétique montre,"watches,watches accessories,watchbands",1
QC,ja,ドラクエ バッグ,"luggage & bags,women's handbags,waist packs",1
QC,en,bmw sr1000,"motorcycle equipments & parts,motorcycle parts,body & frame,motorcycle mudguards",1
QC,it,materasso Totoro,"furniture,home furniture,living room furniture,bean bag sofas",0
QC,pt,taças,"home & garden,kitchen,dining & bar,coffeeware,coffee cups",0
QC,pt,camera yoosee externa,"security & protection,video surveillance,surveillance camera,black-light camera",0
QC,de,nokia lumia 1020,"phones & telecommunications,mobile phones",1
QC,en,october,"men's clothing,hoodies & sweatshirts",0
QC,pl,do otwierania zamków samochodowych,"automobiles, parts & accessories,exterior parts,locks & hardware",0
QC,pl,pudełko Faradaya na klucze,"automobiles, parts & accessories,interior accessories,car interior decor accessories,key case for car",0
QC,ar,مشابك شعر للنساء,"jewelry & accessories,fashion jewelry,hair jewelry",1
QC,it,cbt sex toys per uomo,"beauty & health,sex products,sex toys,semen lock ring",1
QC,de,BMW Carbon-Emblem,"automobiles, parts & accessories,exterior parts,aerials",0
QC,ar,وسادة قدم,"beauty & health,massage & relaxation,waist massage instrument",0
QC,es,caja directa guitarra,"sports & entertainment,musical instruments,stringed instruments,guitar parts & accessories",1
QC,pl,duży łańcuch,"jewelry & accessories,fashion jewelry,necklace",1
QC,de,Volvo S90 Carbon,"automobiles, parts & accessories,car lock system,car key,remote key",1
QC,ko,싱글렛,"novelty & special use,cosplay accessories,cosplay costumes（deactivate）",0
QC,ar,بطريق,"luggage & bags,school bags",0
QC,ja,ベビーアウター,"mother & kids,baby clothing,pants",1
QC,ko,행사드레스,"weddings & events,formal occasion dresses,little black dresses for formal occasion",1
QC,pl,Marvel Legends Hulk,"novelty & special use,cosplay accessories,cosplay costumes（deactivate）",0
QC,pt,zevity cropped,"women's clothing,sweaters&jumpers,cardigan",1
QC,de,Masturbator für Männer,"beauty & health,sex products,sm products,masturbation machine",1
QC,ko,가라아게,"home & garden,home decor,home decoration stickers & posters,wall stickers",0
QC,de,Kawasaki ZX6R Stator,"motorcycle equipments & parts,motorcycle parts,seats & seat parts,seats & benches",0
QC,pt,cosplay femininos,"novelty & special use,cosplay accessories,lolita collection",1
QC,ja,オケージョン ワンピース 女性,"weddings & events,formal occasion dresses,little black dresses for formal occasion",1
QC,ja,んぽちゃむ ケース,"computer & office,laptop parts & accessories,laptop bags & cases",1
QC,ja,　ロキシー,"jewelry & accessories,fine jewelry,necklaces",0
QC,pl,damskie luksusowe sukienki od projektantów 2024,"weddings & events,bespoke occasion dresses,bespoke wedding dresses",1
QC,pt,luminárias de teto,"lights & lighting,indoor lighting,downlights",1
QC,it,ganci da parete nascosti,"home improvement,bathroom fixture,bathroom hardware,robe hooks",1
QC,ja,パーツ　デコ,"home & garden,arts,crafts & sewing,diamond painting & supplies,diamond painting",0
QC,pt,tenis feminino marron,"sports shoes,clothing&accessories,sneakers,basketball shoes",1
QC,de,Damen Sandalen,"shoes,women's shoes,flats",1
QC,ar,فلوريدا ستيت سيمينولز,"men's clothing,tops & tees,t-shirts",1
QC,es,hogar y organizacion,"home & garden,home storage & organization,laundry storage & organization,pop-up laundry hampers",1
QC,es,papelería oficina escritorio,"office & school supplies,desk accessories & organizer,monitor memo board",0
QC,pt,pula pula,"women's clothing,sweaters&jumpers,pullovers",0
QC,es,ropa mujer xxl tallas grandes,"women's clothing,plus size clothes,plus size outwear",1
QC,ko,양변기부속,"home improvement,bathroom fixture,toilets & toilet parts,flappers & tank balls",1
QC,ko,homful 테이블 스테인레스,"furniture,home furniture,living room furniture,coffee tables",1
QC,ko,카멜 ima2p,"home & garden,arts,crafts & sewing,diy apparel sewing supplies,zippers",0
QC,ko,베터리점프,"computer & office,storage device,memory cards accessories,memory card readers & adapters",0
